"Salix"	"Rgaller"	"cooccur"	"interact"	"salix_ID"	"galler_ID"	"post_mean"	"post_SD"
"280"	"waldsteiniana"	"Onigri"	4	0	52	78	0.306846955494385	0.0232433133556618
"281"	"pentandra"	"Onigri"	0	0	37	78	0.545143663965149	0.048141703207588
"282"	"breviserrata"	"Onigri"	0	0	10	78	0.545143663965149	0.048141703207588
"283"	"reticulata"	"Onigri"	1	0	43	78	0.456512080518707	0.0403384966949806
"284"	"retusa"	"Onigri"	2	0	44	78	0.392670223765779	0.0333507633690987
"285"	"aurita"	"Onigri"	0	0	6	78	0.545143663965149	0.048141703207588
"286"	"triandra"	"Onigri"	0	0	48	78	0.545143663965149	0.048141703207588
"287"	"lanata"	"Onigri"	1	0	28	78	0.456512080518707	0.0403384966949806
"288"	"herbacea"	"Onigri"	0	0	27	78	0.545143663965149	0.048141703207588
"289"	"borealis"	"Onigri"	0	0	9	78	0.545143663965149	0.048141703207588
"290"	"myrtilloides"	"Onigri"	0	0	36	78	0.545143663965149	0.048141703207588
"291"	"viminalis"	"Onigri"	0	0	49	78	0.545143663965149	0.048141703207588
"292"	"glabra"	"Onigri"	0	0	21	78	0.545143663965149	0.048141703207588
"293"	"apennina"	"Onigri"	0	0	4	78	0.545143663965149	0.048141703207588
"294"	"rubens"	"Onigri"	0	0	46	78	0.545143663965149	0.048141703207588
"295"	"rosmarinifolia"	"Onigri"	0	0	45	78	0.545143663965149	0.048141703207588
"296"	"caprea x appendiculata"	"Onigri"	0	0	12	78	0.545143663965149	0.048141703207588
"297"	"cinerea oleifolia"	"Onigri"	0	0	14	78	0.545143663965149	0.048141703207588
"298"	"viminalis x caprea"	"Onigri"	0	0	51	78	0.545143663965149	0.048141703207588
"299"	"viminalis x ?"	"Onigri"	0	0	50	78	0.545143663965149	0.048141703207588
"300"	"alpina?"	"Onigri"	0	0	3	78	0.545143663965149	0.048141703207588
"301"	"phylicifolia x caprea ?"	"Onigri"	0	0	39	78	0.545143663965149	0.048141703207588
"302"	"lapponum x glauca?"	"Onigri"	0	0	31	78	0.545143663965149	0.048141703207588
"303"	"lapponum x glauca"	"Onigri"	0	0	30	78	0.545143663965149	0.048141703207588
"304"	"aurita x caprea"	"Onigri"	0	0	7	78	0.545143663965149	0.048141703207588
"305"	"starkeana"	"Onigri"	0	0	47	78	0.545143663965149	0.048141703207588
"306"	"hastata x phylicifolia"	"Onigri"	0	0	25	78	0.545143663965149	0.048141703207588
"307"	"lapponum x phylicifolia"	"Onigri"	0	0	32	78	0.545143663965149	0.048141703207588
"308"	"acutifolia"	"Onigri"	0	0	1	78	0.545143663965149	0.048141703207588
"309"	"bicolor"	"Onigri"	1	1	8	78	0.619095981433509	0.0383399091115139
"310"	"polaris"	"Onigri"	0	0	40	78	0.545143663965149	0.048141703207588
