Web	Proportion	Obs_LperSalix	Sample_mean	Sample_SD
79	0.2	18.0634920635	3.78844897374	0.0579334021274
80	0.2	18.3492063492	3.85973131299	0.0636529294762
81	0.2	18.380952381	3.86211490405	0.0771047703942
82	0.2	18.6111111111	3.88417468646	0.064908990021
83	0.2	18.119047619	3.80675073592	0.0631813036978
84	0.2	18.5555555556	3.87016854628	0.0646085193402
85	0.2	17.9126984127	3.7536422318	0.0685062262678
86	0.2	18.4047619048	3.85487622219	0.0723110542534
87	0.2	17.7301587302	3.76075837307	0.0750140927803
88	0.2	18.3412698413	3.85270311601	0.065015745457
89	0.2	17.8015873016	3.75695304232	0.0724937808201
90	0.2	18.5873015873	3.90280297424	0.0679009967471
91	0.2	18.5714285714	3.88720427	0.0752379311579
92	0.2	18.4206349206	3.85422213505	0.0635022095372
93	0.2	18.0555555556	3.80113196291	0.0770210009893
94	0.2	18.753968254	3.91257787599	0.0743982028466
95	0.2	17.5555555556	3.6825992245	0.0724850750984
96	0.2	18.4761904762	3.85942445887	0.066566959496
97	0.2	18.0476190476	3.81128342404	0.0698281705134
98	0.2	18.3492063492	3.84164277674	0.0697162847367
99	0.2	18.5476190476	3.89239611226	0.0734037196719
100	0.2	17.9444444444	3.78053574741	0.0694321565508
1	0.1	18.3015873016	2.30765197226	0.0909511721568
2	0.1	18.1428571429	2.29917943387	0.0850344327313
3	0.1	17.8333333333	2.27316521599	0.0793691007902
4	0.1	18.2857142857	2.297316263	0.0734492652384
5	0.1	18.373015873	2.29200611272	0.0740958570947
6	0.1	18.0634920635	2.26325577011	0.0827934654148
7	0.1	17.6746031746	2.22435649217	0.0758727490622
8	0.1	18.1904761905	2.28860641511	0.0827428098985
9	0.1	17.8492063492	2.27351182813	0.0932005874759
10	0.1	17.9920634921	2.28333704258	0.0868160461289
11	0.1	18.3492063492	2.29957796958	0.0850744862804
12	0.1	18.5158730159	2.33286613198	0.0857246765459
13	0.1	18.8412698413	2.34447530432	0.0906542134683
14	0.1	18.0634920635	2.29661880528	0.0871677021685
15	0.1	18.4841269841	2.31138203303	0.0855383811885
16	0.1	18.4365079365	2.28598979591	0.0890534604165
17	0.1	18.373015873	2.32422615806	0.0909655772931
18	0.1	18.2857142857	2.2843307499	0.0869182964922
19	0.1	18.6666666667	2.32595288891	0.0786022319852
20	0.1	18.2857142857	2.31203447638	0.0809280215733
21	0.1	18.0555555556	2.27694028138	0.0838033192652
22	0.1	18.0476190476	2.28490522396	0.0771749600461
23	0.1	18.5396825397	2.31942666762	0.0944539111861
24	0.1	18.3253968254	2.29528994638	0.0746490638019
25	0.1	18.8253968254	2.31510602565	0.0826792872757
26	0.1	18.1111111111	2.29991321203	0.0892390053027
27	0.1	18.1349206349	2.27973381399	0.0852423489932
28	0.1	18.1825396825	2.28448744693	0.0884481895403
29	0.1	18.746031746	2.32162969928	0.0755773272181
30	0.1	18.4285714286	2.2890192625	0.077719984078
31	0.1	17.9603174603	2.26936951636	0.0836895082378
32	0.1	18.4682539683	2.31123621875	0.0930699841469
33	0.1	18.380952381	2.2793631257	0.0869139330595
34	0.1	18.8650793651	2.31917517369	0.0796319748555
35	0.1	18.3174603175	2.28413676429	0.0868321986317
36	0.1	17.9841269841	2.27592479181	0.0831399065761
37	0.1	18.3650793651	2.31724463618	0.0884314313696
38	0.1	18.2936507937	2.28449012392	0.0857155637765
39	0.1	17.9206349206	2.26747291358	0.0756693346293
40	0.1	18.3412698413	2.29872578094	0.0832864887122
41	0.1	18.4920634921	2.30376680327	0.0837387920221
42	0.1	18.0952380952	2.30647040693	0.0893111216521
43	0.1	18.3888888889	2.30365052346	0.0845785695396
44	0.1	18.2063492063	2.28692512207	0.0773674669822
45	0.1	18.619047619	2.3196530153	0.0815280280465
46	0.1	18.626984127	2.32322817835	0.0864550379573
47	0.1	18.6587301587	2.34063975088	0.0812082763916
48	0.1	18.0873015873	2.29114248491	0.0739838946647
49	0.1	18.0952380952	2.2802093185	0.0854517243244
50	0.1	18.0793650794	2.28933664437	0.0944000714964
51	0.1	18.4047619048	2.32658164175	0.0854244625598
52	0.1	18.2777777778	2.30622754948	0.0928636260239
53	0.1	18.5634920635	2.31785898009	0.0861204042131
54	0.1	18.0238095238	2.27908794582	0.0947414817909
55	0.1	18.2619047619	2.30693788038	0.0768287979694
56	0.1	17.619047619	2.23237185295	0.0855337552977
57	0.1	18.126984127	2.28419534301	0.0836562993414
58	0.1	18.746031746	2.31943019111	0.0921698492897
59	0.1	18.3412698413	2.29340496949	0.0744042698527
60	0.1	18.4920634921	2.32026554952	0.0838880156719
61	0.1	18.2936507937	2.29918871592	0.084969458926
62	0.1	18.7619047619	2.32841619726	0.0740888833828
63	0.1	18.2301587302	2.27798448021	0.0729715125103
64	0.1	18.5	2.30158285823	0.0772750392996
65	0.1	18.2222222222	2.29589046972	0.0849721552167
66	0.1	18.2380952381	2.28365161799	0.0694237358076
67	0.1	18.126984127	2.29311616503	0.0767174118533
68	0.1	18.246031746	2.29650787694	0.0901290176786
69	0.1	18.3253968254	2.2806108161	0.0788671369605
70	0.1	17.9047619048	2.27283319359	0.0833395890793
71	0.1	18.0238095238	2.29239876081	0.0786917026325
72	0.1	18.3492063492	2.29839002668	0.0845248796895
73	0.1	17.9126984127	2.27749504824	0.0908937424115
74	0.1	18.5396825397	2.33412374892	0.0766698409503
75	0.1	18.0396825397	2.26888553978	0.075590957556
76	0.1	17.8174603175	2.2578014084	0.0938838721841
77	0.1	18.1984126984	2.26758420972	0.0721899075983
78	0.1	18.4126984127	2.29434034652	0.0837220819399
79	0.1	18.0634920635	2.28257226232	0.083460651202
80	0.1	18.3492063492	2.32980516022	0.0848668534056
81	0.1	18.380952381	2.3050133989	0.0743970922853
82	0.1	18.6111111111	2.30856853998	0.082381267598
