Web	Proportion	Obs_LperSalix	Sample_mean	Sample_SD
15	0.6	29.4375	17.65625	0.0
16	0.6	29.0104166667	17.40625	0.0
17	0.6	27.9895833333	16.7916666667	0.0
18	0.6	28.75	17.25	0.0
19	0.6	28.4270833333	17.0520833333	0.0
20	0.6	27.9791666667	16.78125	0.0
21	0.6	28.6875	17.2083333333	0.0
22	0.6	28.90625	17.34375	0.0
23	0.6	28.5104166667	17.1041666667	0.0
24	0.6	29.09375	17.4479166667	0.0
25	0.6	28.5833333333	17.1458333333	0.0
26	0.6	28.9166666667	17.34375	0.0
27	0.6	28.8333333333	17.2916666667	0.0
28	0.6	28.8854166667	17.3229166667	0.0
29	0.6	29.21875	17.53125	0.0
30	0.6	28.8125	17.28125	0.0
31	0.6	28.6145833333	17.1666666667	0.0
32	0.6	28.6145833333	17.1666666667	0.0
33	0.6	28.78125	17.2604166667	0.0
34	0.6	28.5625	17.1354166667	0.0
35	0.6	28.3125	16.9791666667	0.0
36	0.6	28.09375	16.8541666667	0.0
37	0.6	28.1458333333	16.8854166667	0.0
38	0.6	28.4375	17.0625	0.0
39	0.6	28.4166666667	17.0416666667	0.0
40	0.6	28.4270833333	17.0520833333	0.0
41	0.6	28.4270833333	17.0520833333	0.0
42	0.6	28.6458333333	17.1875	0.0
43	0.6	28.0729166667	16.84375	0.0
44	0.6	28.78125	17.2604166667	0.0
45	0.6	27.96875	16.78125	0.0
46	0.6	29.5104166667	17.6979166667	0.0
47	0.6	28.6770833333	17.1979166667	0.0
48	0.6	28.78125	17.2604166667	0.0
49	0.6	28.1041666667	16.8541666667	0.0
50	0.6	28.5208333333	17.1041666667	0.0
51	0.6	27.75	16.6458333333	0.0
52	0.6	28.59375	17.15625	0.0
53	0.6	28.4375	17.0625	0.0
54	0.6	29.4895833333	17.6875	0.0
55	0.6	28.4166666667	17.0416666667	0.0
56	0.6	29.3229166667	17.59375	0.0
57	0.6	28.2291666667	16.9375	0.0
58	0.6	28.6145833333	17.1666666667	0.0
59	0.6	28.0729166667	16.84375	0.0
60	0.6	28.96875	17.375	0.0
61	0.6	28.1458333333	16.8854166667	0.0
62	0.6	28.53125	17.1145833333	0.0
63	0.6	29.1354166667	17.4791666667	0.0
64	0.6	28.4583333333	17.0729166667	0.0
65	0.6	28.8333333333	17.2916666667	0.0
66	0.6	28.7395833333	17.2395833333	0.0
67	0.6	28.8020833333	17.28125	0.0
68	0.6	28.7291666667	17.2291666667	0.0
69	0.6	28.5833333333	17.1458333333	0.0
70	0.6	28.5416666667	17.125	0.0
71	0.6	28.5416666667	17.125	0.0
72	0.6	28.5729166667	17.1354166667	0.0
73	0.6	28.5520833333	17.125	0.0
74	0.6	27.5208333333	16.5104166667	0.0
75	0.6	29.1041666667	17.4583333333	0.0
76	0.6	28.0625	16.8333333333	0.0
77	0.6	28.9375	17.3541666667	0.0
78	0.6	29.3854166667	17.625	0.0
79	0.6	28.0729166667	16.84375	0.0
80	0.6	28.5104166667	17.1041666667	0.0
81	0.6	28.65625	17.1875	0.0
82	0.6	28.8541666667	17.3125	0.0
83	0.6	27.90625	16.7395833333	0.0
84	0.6	28.3645833333	17.0104166667	0.0
85	0.6	29.3125	17.5833333333	0.0
86	0.6	28.8541666667	17.3125	0.0
87	0.6	28.375	17.0208333333	0.0
88	0.6	29.0416666667	17.4166666667	0.0
89	0.6	28.5208333333	17.1041666667	0.0
90	0.6	28.4895833333	17.09375	0.0
91	0.6	28.59375	17.15625	0.0
92	0.6	28.5625	17.1354166667	0.0
93	0.6	28.7708333333	17.2604166667	0.0
94	0.6	29.0520833333	17.4270833333	0.0
95	0.6	27.8854166667	16.7291666667	0.0
96	0.6	28.1458333333	16.8854166667	0.0
97	0.6	27.875	16.71875	0.0
98	0.6	28.34375	17.0	0.0
99	0.6	28.6041666667	17.15625	0.0
100	0.6	28.1041666667	16.8541666667	0.0
1	0.9	28.53125	25.6770833333	7.1054273576e-15
2	0.9	28.84375	25.9583333333	7.1054273576e-15
3	0.9	27.7604166667	24.9791666667	7.1054273576e-15
4	0.9	28.0833333333	25.2708333333	7.1054273576e-15
5	0.9	28.59375	25.7291666667	7.1054273576e-15
6	0.9	27.7395833333	24.9583333333	7.1054273576e-15
7	0.9	28.15625	25.3333333333	7.1054273576e-15
8	0.9	29.0729166667	26.15625	0.0
9	0.9	27.4375	24.6875	0.0
10	0.9	28.4895833333	25.6354166667	7.1054273576e-15
11	0.9	28.8541666667	25.96875	0.0
12	0.9	28.6458333333	25.78125	0.0
13	0.9	28.125	25.3125	0.0
14	0.9	28.53125	25.6770833333	7.1054273576e-15
15	0.9	29.4375	26.4895833333	7.1054273576e-15
16	0.9	29.0104166667	26.1041666667	7.1054273576e-15
17	0.9	27.9895833333	25.1875	0.0
18	0.9	28.75	25.875	0.0
19	0.9	28.4270833333	25.5833333333	7.1054273576e-15
20	0.9	27.9791666667	25.1770833333	7.1054273576e-15
21	0.9	28.6875	25.8125	0.0
22	0.9	28.90625	26.0104166667	7.1054273576e-15
23	0.9	28.5104166667	25.65625	0.0
