"Salix" "Rgaller" "cooccur" "interact" "salix_ID" "galler_ID" "post.mean" "post.sd"
"210" "appendiculata" "Okriec" 2 0 5 71 0.0613312040821622 0.000524430221890415
"211" "myrsinifolia" "Okriec" 5 0 34 71 0.059699703371357 0.000497763752676545
"212" "foetida" "Okriec" 1 0 18 71 0.0618950360027647 0.00053379613159122
"213" "hastata" "Okriec" 0 0 24 71 0.062469330986797 0.000543414899234718
"214" "daphnoides" "Okriec" 5 0 16 71 0.059699703371357 0.000497763752676545
"215" "helvetica" "Okriec" 0 0 26 71 0.062469330986797 0.000543414899234718
"216" "glaucosericea" "Okriec" 0 0 23 71 0.062469330986797 0.000543414899234718
"217" "cinerea" "Okriec" 0 0 13 71 0.062469330986797 0.000543414899234718
"218" "purpurea" "Okriec" 8 0 41 71 0.058152754128857 0.000473078701577087
"219" "alba" "Okriec" 0 0 2 71 0.062469330986797 0.000543414899234718
"220" "fragilis" "Okriec" 0 0 19 71 0.062469330986797 0.000543414899234718
"221" "repens" "Okriec" 0 0 42 71 0.062469330986797 0.000543414899234718
"222" "lapponum" "Okriec" 0 0 29 71 0.062469330986797 0.000543414899234718
"223" "myrsinites" "Okriec" 0 0 35 71 0.062469330986797 0.000543414899234718
"224" "phylicifolia" "Okriec" 0 0 38 71 0.062469330986797 0.000543414899234718
"225" "glauca" "Okriec" 0 0 22 71 0.062469330986797 0.000543414899234718
"226" "caprea" "Okriec" 3 0 11 71 0.0607775518668684 0.000515308394815073
"227" "mielichhoferi" "Okriec" 0 0 33 71 0.062469330986797 0.000543414899234718
"228" "waldsteiniana" "Okriec" 0 0 52 71 0.062469330986797 0.000543414899234718
"229" "pentandra" "Okriec" 0 0 37 71 0.062469330986797 0.000543414899234718
"230" "breviserrata" "Okriec" 0 0 10 71 0.062469330986797 0.000543414899234718
"231" "reticulata" "Okriec" 0 0 43 71 0.062469330986797 0.000543414899234718
"232" "retusa" "Okriec" 0 0 44 71 0.062469330986797 0.000543414899234718
"233" "aurita" "Okriec" 0 0 6 71 0.062469330986797 0.000543414899234718
"234" "triandra" "Okriec" 0 0 48 71 0.062469330986797 0.000543414899234718
"235" "lanata" "Okriec" 0 0 28 71 0.062469330986797 0.000543414899234718
"236" "herbacea" "Okriec" 0 0 27 71 0.062469330986797 0.000543414899234718
"237" "borealis" "Okriec" 0 0 9 71 0.062469330986797 0.000543414899234718
"238" "myrtilloides" "Okriec" 0 0 36 71 0.062469330986797 0.000543414899234718
"239" "viminalis" "Okriec" 0 0 49 71 0.062469330986797 0.000543414899234718
"240" "glabra" "Okriec" 0 0 21 71 0.062469330986797 0.000543414899234718
"241" "apennina" "Okriec" 0 0 4 71 0.062469330986797 0.000543414899234718
"242" "rubens" "Okriec" 0 0 46 71 0.062469330986797 0.000543414899234718
"243" "rosmarinifolia" "Okriec" 0 0 45 71 0.062469330986797 0.000543414899234718
"244" "caprea x appendiculata" "Okriec" 1 0 12 71 0.0618950360027647 0.00053379613159122
"245" "cinerea oleifolia" "Okriec" 0 0 14 71 0.062469330986797 0.000543414899234718
"246" "viminalis x caprea" "Okriec" 0 0 51 71 0.062469330986797 0.000543414899234718
"247" "viminalis x ?" "Okriec" 0 0 50 71 0.062469330986797 0.000543414899234718
"248" "alpina?" "Okriec" 0 0 3 71 0.062469330986797 0.000543414899234718
"249" "phylicifolia x caprea ?" "Okriec" 0 0 39 71 0.062469330986797 0.000543414899234718
