"Rgaller" "Rpara" "cooccur" "interact" "para_ID" "galler_ID" "post.mean" "post.sd"
"185" "Hanoma" "Aalvea" 0 0 2 31 0.127340212208506 0.00865366270425834
"186" "Oaacut" "Aalvea" 0 0 2 55 0.127340212208506 0.00865366270425834
"187" "Hpurpu" "Aalvea" 0 0 2 46 0.127340212208506 0.00865366270425834
"188" "Opolar" "Aalvea" 0 0 2 83 0.127340212208506 0.00865366270425834
"189" "Opprox" "Aalvea" 0 0 2 84 0.127340212208506 0.00865366270425834
"190" "Hspecc" "Aalvea" 0 0 2 51 0.127340212208506 0.00865366270425834
"191" "Hsglau" "Aalvea" 0 0 2 49 0.127340212208506 0.00865366270425834
"192" "Hslana" "Aalvea" 0 0 2 50 0.127340212208506 0.00865366270425834
"193" "Oelaea" "Atymbe" 1 1 13 63 1 0
"194" "Obridg" "Atymbe" 0 0 13 60 0.127340212208506 0.00865366270425834
"195" "Ovaria" "Atymbe" 0 0 13 93 0.127340212208506 0.00865366270425834
"196" "Oobscu" "Atymbe" 0 0 13 81 0.127340212208506 0.00865366270425834
"197" "Okriec" "Atymbe" 1 0 13 71 0.118140224993117 0.00752694913859281
"198" "Onigri" "Atymbe" 0 0 13 78 0.127340212208506 0.00865366270425834
"199" "Ofoeti" "Atymbe" 0 0 13 64 0.127340212208506 0.00865366270425834
"200" "Ohasta" "Atymbe" 0 0 13 68 0.127340212208506 0.00865366270425834
"201" "Oadaph" "Atymbe" 1 0 13 56 0.118140224993117 0.00752694913859281
"202" "Ohelve" "Atymbe" 0 0 13 69 0.127340212208506 0.00865366270425834
"203" "Onival" "Atymbe" 0 0 13 79 0.127340212208506 0.00865366270425834
"204" "Ovimin" "Atymbe" 0 0 13 95 0.127340212208506 0.00865366270425834
"205" "Oproxi" "Atymbe" 0 0 13 85 0.127340212208506 0.00865366270425834
"206" "Ocolla" "Atymbe" 0 0 13 61 0.127340212208506 0.00865366270425834
"207" "Osamol" "Atymbe" 0 0 13 89 0.127340212208506 0.00865366270425834
"208" "Omyrsi" "Atymbe" 0 0 13 76 0.127340212208506 0.00865366270425834
"209" "Oarcti" "Atymbe" 0 0 13 57 0.127340212208506 0.00865366270425834
"210" "Eboreo" "Atymbe" 0 0 13 5 0.127340212208506 0.00865366270425834
"211" "Oglauc" "Atymbe" 0 0 13 67 0.127340212208506 0.00865366270425834
"212" "Elappo" "Atymbe" 0 0 13 15 0.127340212208506 0.00865366270425834
"213" "Elappc" "Atymbe" 0 0 13 14 0.127340212208506 0.00865366270425834
"214" "Olappo" "Atymbe" 0 0 13 73 0.127340212208506 0.00865366270425834
"215" "Olappl" "Atymbe" 0 0 13 72 0.127340212208506 0.00865366270425834
"216" "Emyrsi" "Atymbe" 0 0 13 17 0.127340212208506 0.00865366270425834
"217" "Ogalla" "Atymbe" 0 0 13 65 0.127340212208506 0.00865366270425834
"218" "Hischn" "Atymbe" 0 0 13 34 0.127340212208506 0.00865366270425834
"219" "Ehasta" "Atymbe" 0 0 13 12 0.127340212208506 0.00865366270425834
"220" "Egemmf" "Atymbe" 0 0 13 10 0.127340212208506 0.00865366270425834
"221" "Omonti" "Atymbe" 0 0 13 75 0.127340212208506 0.00865366270425834
"222" "Eelaea" "Atymbe" 0 0 13 8 0.127340212208506 0.00865366270425834
"223" "Hcarin" "Atymbe" 0 0 13 32 0.127340212208506 0.00865366270425834
"224" "Egemmh" "Atymbe" 0 0 13 11 0.127340212208506 0.00865366270425834
"225" "Hplicg" "Atymbe" 0 0 13 40 0.127340212208506 0.00865366270425834
"226" "Omacul" "Atymbe" 0 0 13 74 0.127340212208506 0.00865366270425834
